trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-249.90059177025543,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",30,0,-175.03736836252807,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-111.53006206093437,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,0,-100.97343157856207,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",30,0,-188.00920529820178,"{0: 21, 1: 2, 2: 2, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-87.61713489245544,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,0,-155.92318228275312,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,2,-66.3338999344564,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",35,0,-102.45057643939167,"{0: 24, 1: 4, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-43.00710463242045,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",20,0,-137.77192680400043,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",30,7,-128.2492506856982,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",30,0,-155.25686213745888,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,0,-79.26998510668297,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",30,0,-49.3141285968285,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-41.24405103112522,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-97.83331753257941,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",35,0,-158.44850424649155,"{0: 23, 1: 4, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,0,-58.96852396272218,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-82.30470702610813,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",20,0,-49.20830989366431,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",30,0,-26.938511244391588,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.794533602503334}",20,3,-30.849963562263376,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-150.75700012579622,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",30,0,-93.68025275077187,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,0,-121.59729925742187,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",20,0,-62.235271101829696,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-77.7994599717095,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",30,0,-197.3502873080168,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
