trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-148.32278679785634,"{0: 11, 1: 8, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-143.02437377089336,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,12,-45.215350059036595,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,6,-125.61733952829002,"{0: 5, 1: 3, 2: 4, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,3,-45.90336383822718,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-135.5906716704929,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-223.67130554010132,"{0: 16, 1: 8, 2: 8, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,2,-37.75616422900607,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-135.17176181922287,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-203.49430728386304,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-54.27061348590945,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-128.62419694567964,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,4,-74.46850015954111,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-119.28288220620816,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-210.52589771383245,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-166.34528546421095,"{0: 15, 1: 6, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-108.58039988685027,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-153.16610478753333,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-177.71505488494566,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-117.23070160418416,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-158.81456653002806,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",30,0,-97.93103787084951,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-69.58369417840281,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-166.1403787485154,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-53.25493922948925,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-52.01359186624487,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-94.67252962866512,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-59.66051888364005,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",35,0,-121.61891992345012,"{0: 24, 1: 4, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",30,0,-157.3689079878095,"{0: 19, 1: 0, 2: 8, 3: 1, 4: 2}",0
